CIP1990,CIPTITLE1990,CIP2000,CIPTITLE2000
45.9999,"Social Sciences and History, Other",45.9999,"Social Sciences, Other"
46,CONSTRUCTION TRADES,46.,CONSTRUCTION TRADES
,,46.00,"Construction Trades, General (NEW)"
,,46.0000,"Construction Trades, General (NEW)"
46.01,Masons and Tile Setters,46.01,Mason/Masonry
46.0101,Mason and Tile Setter,46.0101,Mason/Masonry
46.02,Carpenters,46.02,Carpenters
46.0201,Carpenter,46.0201,Carpentry/Carpenter
46.03,Electrical and Power Transmission Installers,46.03,Electrical and Power Transmission Installers
46.0301,"Electrical and Power Transmission Installer, General",46.0301,"Electrical and Power Transmission Installation/Installer, General"
46.0302,Electrician,46.0302,Electrician
46.0303,Lineworker,46.0303,Lineworker
46.0399,"Electrical and Power Transmission Installer, Other",46.0399,"Electrical and Power Transmission Installers, Other"
46.04,Construction and Building Finishers and Managers,46.04,"Building/Construction Finishing, Management, and Inspection"
46.0401,Building/Property Maintenance and Manager,46.0401,Building/Property Maintenance and Manager
,,46.0402,Concrete Finishing/Concrete Finisher (NEW)
46.0403,Construction/Building Inspector,46.0403,Building/Home/Construction Inspection/Inspector
,,46.0404,Drywall Installation/Drywaller (NEW)
,,46.0406,Glazier (NEW)
46.0408,Painter and Wall Coverer,46.0408,Painting/Painter and Wall Coverer
,,46.0410,Roofer (NEW)
,,46.0411,Metal Building Assembly/Assembler (NEW)
,,46.0412,Building/Construction Site Management/Manager (NEW)
46.0499,"Construction and Building Finishers and Managers, Other",46.0499,"Building/Construction Finishing, Management, and Inspection, Other"
46.05,Plumbers and Pipefitters,46.05,Plumbing and Related Water Supply Services
46.0501,Plumber and Pipefitter,46.0502,Pipefitting/Pipefitter and Sprinkler Fitter. (NEW)
,,46.0503,Plumbing Technology/Plumber (NEW)
,,46.0504,Well Drilling/Driller (NEW)
,,46.0505,Blasting/Blaster (NEW)
,,46.0599,"Plumbing and Related Water Supply Services, Other (NEW)"
46.99,"Construction Trades, Other",46.99,"Construction Trades, Other"
46.9999,"Construction Trades, Other",46.9999,"Construction Trades, Other"
47,MECHANICS AND REPAIRERS,47.,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
,,47.00,"Mechanics and Repairers, General (NEW)"
,,47.0000,"Mechanics and Repairers, General (NEW)"
47.01,Electrical and Electronics Equipment Installers and Repairers,47.01,Electrical/Electronics Maintenance and Repair Technology
47.0101,"Electrical and Electronics Equipment Installer and Repairer, General",47.0101,"Electrical/Electronics Equipment Installation and Repair, General"
47.0102,Business Machine Repairer,47.0102,Business Machine Repairer
47.0103,Communication Systems Installer and Repairer,47.0103,Communications Systems Installation and Repair Technology
47.0104,Computer Installer and Repairer,47.0104,Computer Installation and Repair Technology/Technician
47.0105,Industrial Electronics Installer and Repairer,47.0105,Industrial Electronics Technology/Technician
47.0106,Major Appliance Installer and Repairer,47.0106,Appliance Installation and Repair Technology/Technician
,,47.0110,"Security System Installation, Repair, and Inspection Technology/Technician (NEW)"
47.0199,"Electrical and Electronics Equipment Installer and Repairer, Other",47.0199,"Electrical/Electronics Maintenance and Repair Technology, Other"
47.02,"Heating, Air Conditioning and Refrigeration Mechanics and Repairers",47.02,"Heating, Air Conditioning, Ventilation and RefrigerationMaintenance Technology/Technician (HAC, HACR, HVAC, HVACR)"
47.0201,"Heating, Air Conditioning and Refrigeration Mechanic and Repairers",47.0201,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)"
47.03,Industrial Equipment Maintenance and Repairers,47.03,Heavy/Industrial Equipment Maintenance Technologies
47.0302,Heavy Equipment Maintenance and Repairer,47.0302,Heavy Equipment Maintenance Technology/Technician
47.0303,Industrial Machinery Maintenance and Repairer,47.0303,Industrial Mechanics and Maintenance Technology
47.0399,"Industrial Equipment Maintenance and Repairers, Other",47.0399,"Heavy/Industrial Equipment Maintenance Technologies, Other"
47.04,Miscellaneous Mechanics and Repairers,47.04,Precision Systems Maintenance and Repair Technologies
47.0401,Instrument Calibration and Repairer,15.0404,Instrumentation Technology/Technician
47.0402,Gunsmith,47.0402,Gunsmithing/Gunsmith
47.0403,Locksmith and Safe Repairer,47.0403,Locksmithing and Safe Repair
47.0404,Musical Instrument Repairer,47.0404,Musical Instrument Fabrication and Repair
47.0408,"Watch, Clock and Jewelry Repairer",47.0408,Watchmaking and Jewelrymaking
,,47.0409,Parts and Warehousing Operations and Maintenance Technology/Technician (NEW)
47.0499,"Miscellaneous Mechanics and Repairers, Other",47.0499,"Precision Systems Maintenance and Repair Technologies, Other"
47.05,Stationary Energy Sources Installers and Operators,,Deleted
47.0501,Stationary Energy Sources Installer and Operator,47.9999,"Mechanic and Repair Technologies/Technicians, Other"
47.06,Vehicle and Mobile Equipment Mechanics and Repairers,47.06,Vehicle Maintenance and Repair Technologies
47.0603,Auto/Automotive Body Repairer,47.0603,Autobody/Collision and Repair Technology/Technician
47.0604,Auto/Automotive Mechanic/Technician,47.0604,Automobile/Automotive Mechanics Technology/Technician
47.0605,Diesel Engine Mechanic and Repairer,47.0605,Diesel Mechanics Technology/Technician
47.0606,Small Engine Mechanic and Repairer,47.0606,Small Engine Mechanics and Repair Technology/Technician
47.0607,"Aircraft Mechanic/Technician, Airframe",47.0607,Airframe Mechanics and Aircraft Maintenance Technology/Technician
47.0608,"Aircraft Mechanic/Technician, Powerplant",47.0608,Aircraft Powerplant Technology/Technician
47.0609,Aviation Systems and Avionics Maintenance Technologist/Technician,47.0609,Avionics Maintenance Technology/Technician
47.0610,Bicycle Mechanic and Repairer,47.0610,Bicycle Mechanics and Repair Technology/Technician
47.0611,Motorcycle Mechanic and Repairer,47.0611,Motorcycle Maintenance and Repair Technology/Technician
,,47.0612,Vehicle Emissions Inspection and Maintenance Technology/Technician (NEW)
,,47.0613,Medium/Heavy Vehicle and Truck Technology/Technician (NEW)
,,47.0614,Alternative Fuel Vehicle Technology/Technician(NEW)
,,47.0615,Engine Machinist (NEW)
47.0699,"Vehicle and Mobile Equipment Mechanics and Repairers, Other",47.0699,"Vehicle Maintenance and Repair Technologies, Other"
47.99,"Mechanics and Repairers, Other",47.99,"Mechanic and Repair Technologies/Technicians, Other"
47.9999,"Mechanics and Repairers, Other",47.9999,"Mechanic and Repair Technologies/Technicians, Other"
48,PRECISION PRODUCTION TRADES,48.,PRECISION PRODUCTION
,,48.00,"Precision Production Trades, General (NEW)"
,,48.0000,"Precision Production Trades, General (NEW)"
48.01,Drafting,,Deleted
48.0101,"Drafting, General",15.1301,"Drafting and Design Technology/Technician, General"
48.0102,Architectural Drafting,15.1303,Architectural Drafting and Architectural CAD/CADD
48.0103,Civil/Structural Drafting,15.1304,Civil Drafting and Civil Engineering CAD/CADD
48.0104,Electrical/Electronics Drafting,15.1305,Electrical/Electronics Drafting and Electrical/ Electronics CAD/CADD
48.0105,Mechanical Drafting,15.1306,Mechanical Drafting and Mechanical Drafting CAD/CADD
48.0199,"Drafting, Other",15.1399,"Drafting/Design Engineering Technologies/Technicians, Other"
48.02,Graphic and Printing Equipment Operators,,Deleted
48.0201,"Graphic and Printing Equipment Operator, General",10.0305,"Graphic and Printing Equipment Operator, General Production"
48.0205,Mechanical Typesetter and Composer,10.0399,"Graphic Communications, Other"
48.0206,Lithographer and Platemaker,10.0306,Platemaker/Imager
48.0208,Printing Press Operator,10.0307,Printing Press Operator
48.0211,Computer Typography and Composition Equipment Operator,10.0308,Computer Typography and Composition Equipment Operator
48.0212,Desktop Publishing Equipment Operator,10.0303,Prepress/Desktop Publishing and Digital Imaging Design
48.0299,"Graphic and Printing Equipment Operators, Other",10.0399,"Graphic Communications, Other"
48.03,Leatherworkers and Upholsterers,48.03,Leatherworking and Upholstery
48.0303,Upholsterer,48.0303,Upholstery/Upholsterer
48.0304,"Shoe, Boot and Leather Repairer",48.0304,"Shoe, Boot and Leather Repair"
48.0399,"Leatherworkers and Upholsterers, Other",48.0399,"Leatherworking and Upholstery, Other"
48.05,Precision Metal Workers,48.05,Precision Metal Working
48.0501,Machinist/Machine Technologist,48.0501,Machine Tool Technology/Machinist
48.0503,Machine Shop Assistant,48.0503,Machine Shop Technology/Assistant
48.0506,Sheet Metal Worker,48.0506,Sheet Metal Technology/Sheetworking
48.0507,Tool and Die Maker/Technologist,48.0507,Tool and Die Technology/Technician
48.0508,Welder/Welding Technologist,48.0508,Welding Technology/Welder
,,48.0509,Ironworking/Ironworker (NEW)
48.0599,"Precision Metal Workers, Other",48.0599,"Precision Metal Working, Other"
48.07,Woodworkers,48.07,Woodworking
48.0701,"Woodworkers, General",48.0701,"Woodworking, General"
48.0702,Furniture Designer and Maker,48.0702,Furniture Design and Manufacturing
48.0703,Cabinet Maker and Millworker,48.0703,Cabinetmaking and Millwork/Millwright
48.0799,"Woodworkers, Other",48.0799,"Woodworking, Other"
,,48.08,Boilermaking/Boilermaker (NEW)
,,48.0801,Boilermaking/Boilermaker (NEW)
48.99,"Precision Production Trades, Other",48.99,"Precision Production, Other"
48.9999,"Precision Production Trades, Other",48.9999,"Precision Production, Other"
49,TRANSPORTATION AND MATERIALS MOVING WORKERS,49.,TRANSPORTATION AND MATERIALS MOVING
49.01,Air Transportation Workers,49.01,Air Transportation
49.0101,Aviation and Airway Science,49.0101,"Aeronautics/Aviation/Aerospace Science and Technology, General"
49.0102,"Aircraft Pilot and Navigator, (Professional)",49.0102,Airline/Commercial/Professional Pilot and Flight Crew
49.0104,Aviation Management,49.0104,Aviation/Airway Management and Operations
49.0105,Air Traffic Controller,49.0105,Air Traffic Controller
49.0106,Flight Attendant,49.0106,Airline Flight Attendant
49.0107,Aircraft Pilot (Private),36.0119,Aircraft Pilot (Private)
,,49.0108,Flight Instructor (NEW)
49.0199,"Air Transportation Workers, Other",49.0199,"Air Transportation, Other"
49.02,Vehicle and Equipment Operators,49.02,Ground Transportation
49.0202,Construction Equipment Operator,49.0202,Construction/Heavy Equipment/Earthmoving Equipment Operation
49.0205,"Truck, Bus and Other Commercial Vehicle Operator",49.0205,Truck and Bus Driver/Commercial Vehicle Operation
,,49.0206,Mobil Crane Operation/Operator (NEW)
49.0299,"Vehicle and Equipment Operators, Other",49.0299,"Ground Transportation, Other"
49.03,Water Transportation Workers,49.03,Marine Transportation
49.0303,Fishing Technology/Commercial Fishing,49.0303,Commercial Fishing
49.0304,Diver (Professional),49.0304,"Diver, Professional and Instructor"
49.0306,Marine Maintenance and Ship Repairer,47.0616,Marine Maintenance/Fitter and Ship Repair Technology/Technician
49.0309,Marine Science/Merchant Marine Officer,49.0309,Marine Science/Merchant Marine Officer
49.0399,"Water Transportation Workers, Other",49.0399,"Marine Transportation, Other"
49.99,"Transportation and Materials Moving Workers, Other",49.99,"Transportation and Materials Moving, Other"
49.9999,"Transportation and Materials Moving Workers, Other",49.9999,"Transportation and Materials Moving, Other"
50,VISUAL AND PERFORMING ARTS,50.,VISUAL AND PERFORMING ARTS
50.01,Visual and Performing Arts,50.01,"Visual and Performing Arts, General"
50.0101,Visual and Performing Arts,50.0101,"Visual and Performing Arts, General"
50.02,"Crafts, Folk Art and Artisanry",50.02,"Crafts/Craft Design, Folk Art and Artisan­ry"
50.0201,"Crafts, Folk Art and Artisanry",50.0201,"Crafts/Craft Design, Folk Art and Artisan­ry"
50.03,Dance,50.03,Dance
50.0301,Dance,50.0301,"Dance, General"
,,50.0302,Ballet (NEW)
,,50.0399,"Dance, Other (NEW)"
50.04,Design and Applied Arts,50.04,Design and Applied Arts
50.0401,Design and Visual Communications,50.0401,"Design and Visual Communications, General"
50.0402,"Graphic Design, Commercial Art and Illustration",50.0402,Commercial and Advertising Art
50.0404,Industrial Design,50.0404,Industrial Design
50.0406,Commercial Photography,50.0406,Commercial Photography
50.0407,Fashion Design and Illustration,50.0407,Fashion/Apparel Design
50.0408,Interior Design,50.0408,Interior Design
,,50.0409,Graphic Design (NEW)
,,50.0410,Illustration (NEW)
50.0499,"Design and Applied Arts, Other",50.0499,"Design and Applied Arts, Other"
50.05,Dramatic/Theater Arts and Stagecraft,50.05,Dramatic/Theatre Arts and Stage­craft
50.0501,"Drama/Theater Arts, General",50.0501,"Drama and Dramatics/Theatre Arts, General"
50.0502,Technical Theater/Theater Design and Stagecraft,50.0502,Technical Theatre/Theatre Design and Technology
50.0503,Acting and Directing,50.0506,Acting. (NEW)
,,50.0507,Directing and Theatrical Production (NEW)
50.0504,Playwriting and Screenwriting,50.0504,Playwriting and Screenwriting
50.0505,"Drama/Theater Literature, History and Criticism",50.0505,"Theatre Literature, History and Criticism"
,,50.0508,Theatre/Theatre Arts Management (NEW)
50.0599,"Dramatic/Theater Arts and Stagecraft, Other",50.0599,"Dramatic/Theatre Arts and Stage­craft, Other"
50.06,Film/Video and Photographic Arts,50.06,Film/Video and Photographic Arts
50.0601,Film/Cinema Studies,50.0601,Film/Cinema Studies
50.0602,Film-Video Making/Cinematography and Production,50.0602,Cinematography and Film/Video Production
50.0605,Photography,50.0605,Photography
50.0699,"Film/Video and Photographic Arts, Other",50.0699,"Film/Video and Photographic Arts, Other"
50.07,Fine Arts and Art Studies,50.07,Fine and Studio Art
50.0701,"Art, General",50.0701,"Art/Art Studies, General"
50.0702,Fine/Studio Arts,50.0702,"Fine/Studio Arts, General"
50.0703,"Art History, Criticism and Conservation",50.0703,"Art History, Criticism and Conservation"
50.0704,Arts Management,50.0704,Arts Management
50.0705,Drawing,50.0705,Drawing
50.0706,Intermedia,50.0706,Intermedia/Multimedia
50.0708,Painting,50.0708,Painting
50.0709,Sculpture,50.0709,Sculpture
50.0710,Printmaking,50.0710,Printmaking
50.0711,Ceramics Arts and Ceramics,50.0711,Ceramic Arts and Ceramics
50.0712,"Fiber, Textile and Weaving Arts",50.0712,"Fiber, Textile and Weaving Arts"
50.0713,Metal and Jewelry Arts,50.0713,Metal and Jewelry Arts
50.0799,"Fine Arts and Art Studies, Other",50.0799,"Fine Arts and Art Studies, Other"
50.09,Music,50.09,Music
50.0901,"Music, General",50.0901,"Music, General"
50.0902,Music History and Literature,50.0902,"Music History, Literature, and Theory"
50.0903,Music -- General Performance,50.0903,"Music Performance, General"
50.0904,Music -- Theory and Composition,50.0904,Music Theory and Composition
50.0905,Musicology and Ethnomusicology,50.0905,Musicology and Ethnomusicology
50.0906,Music Conducting,50.0906,Conducting
50.0907,Music -- Piano and Organ Performance,50.0907,Piano and Organ
50.0908,Music -- Voice and Choral/Opera Performance,50.0908,Voice and Opera
50.0909,Music Business Management and Merchandising,50.0909,Music Management and Merchandising
,,50.0910,Jazz/Jazz Studies (NEW)
,,50.0911,"Violin, Viola, Guitar and Other Stringed Instruments (NEW)"
,,50.0912,Music Pedagogy (NEW)
50.0999,"Music, Other",50.0999,"Music, Other"
50.99,"Visual and Performing Arts, Other",50.99,"Visual and Performing Arts, Oth­er"
50.9999,"Visual and Performing Arts, Other",50.9999,"Visual and Performing Arts, Oth­er"
51,HEALTH PROFESSIONS AND RELATED SCIENCES,51.,HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES
,,51.00,"Health Services/Allied Health/Health Sciences, General (NEW)"
,,51.0000,"Health Services/Allied Health/Health Sciences, General (NEW)"
51.01,"Chiropractic (D.C., D.C.M.)",51.01,Chiropractic (DC)
51.0101,"Chiropractic (D.C., D.C.M.)",51.0101,Chiropractic (DC)
51.02,Communication Disorders Sciences and Services,51.02,Communication Disorders Sciences and Services
51.0201,"Communication Disorders, General",51.0201,"Communication Disorders, General"
51.0202,Audiology/Hearing Sciences,51.0202,Audiology/Audiologist and Hearing Sciences
51.0203,Speech-Language Pathology,51.0203,Speech-Language Pathology/Pathologist
51.0204,Speech-Language Pathology and Audiology,51.0204,Audiology/Audiologist and Speech-Language Pathology/Pathologist
51.0205,Sign Language Interpreter,16.1603,Sign Language Interpretation and Translation
51.0299,"Communication Disorders Sciences and Services, Other",51.0299,"Communication Disorders Sciences and Services, Other"
51.03,Community Health Services,,Deleted
51.0301,Community Health Liaison,51.1504,Community Health Services/Liaison/Counseling
51.04,"Dentistry (D.D.S., D.M.D.)",51.04,"Dentistry (DDS, DMD"
51.0401,"Dentistry (D.D.S., D.M.D.)",51.0401,"Dentistry (DDS, DMD)"
51.05,"Dental Clinical Sciences/Graduate Dentistry (M.S., Ph.D.)",51.05,Advanced/Graduate Dentistry and Oral Sciences
51.0501,"Dental Clinical Sciences/Graduate Dentistry (M.S., Ph.D.)",51.0501,"Dental Clinical Sciences, General (MS, PhD)"
,,51.0502,"Advanced General Dentistry (Cert, MS, PhD)(NEW)"
,,51.0503,"Oral Biology and Oral Pathology (MS, PhD)(NEW)"
,,51.0504,"Dental Public Health and Education (Cert, MS/MPH, PhD/DPH) (NEW)"
,,51.0505,"Dental Materials (MS, PhD) (NEW)"
,,51.0506,"Endodontics/Endodontology (Cert, MS, PhD)(NEW)"
,,51.0507,"Oral/Maxillofacial Surgery (Cert, MS, PhD)(NEW)"
,,51.0508,"Orthodontics/Orthodontology (Cert, MS, PhD)(NEW)"
,,51.0509,"Pediatric Dentistry/Pedodontics (Cert, MS, PhD)(NEW)"
,,51.0510,"Periodontics/Periodontology (Cert, MS, PhD)(NEW)"
,,51.0511,"Prosthodontics/Prosthodontology (Cert, MS, PhD) (NEW)"
,,51.0599,"Advanced/Graduate Dentistry and Oral Sciences, Other (NEW)"
51.06,Dental Services,51.06,Dental Support Services and Allied Professions
51.0601,Dental Assistant,51.0601,Dental Assisting/Assistant
51.0602,Dental Hygienist,51.0602,Dental Hygiene/Hygienist
51.0603,Dental Laboratory Technician,51.0603,Dental Laboratory Technology/Technician
51.0699,"Dental Services, Other",51.0699,"Dental Services and Allied Professions, Other"
51.07,Health and Medical Administrative Services,51.07,Health and Medical Administrative Services
51.0701,Health System/Health Services Administration,51.0701,Health/Health Care Administration/Management
51.0702,Hospital/Health Facilities Administration,51.0702,Hospital and Health Care Facilities Administration/Management
51.0703,Health Unit Coordinator/Ward Clerk,51.0703,Health Unit Coordinator/Ward Clerk
51.0704,Health Unit Manager/Ward Supervisor,51.0704,Health Unit Manager/Ward Supervisor
51.0705,Medical Office Management,51.0705,Medical Office Management/Administration
51.0706,Medical Records Administration,51.0706,Health Information/Medical Records Administration/Administrator
51.0707,Medical Records Technology/Technician,51.0707,Health Information/Medical Records Technology/Technician
51.0708,Medical Transcription,51.0708,Medical Transcription/Transcriptionist
,,51.0709,Medical Office Computer Specialist/Assistant(NEW)
,,51.0710,Medical Office Assistant/Specialist (NEW)
,,51.0711,Medical/Health Management and Clinical Assistant/Specialist (NEW)
,,51.0712,Medical Reception/Receptionist (NEW)
,,51.0713,Medical Insurance Coding Specialist/Coder(NEW)
,,51.0714,Medical Insurance Specialist/Medical Biller(NEW)
,,51.0715,Health/Medical Claims Examiner (NEW)
,,51.0717,Medical Staff Services Technology/Technician(NEW)
51.0799,"Health and Medical Administrative Services, Other",51.0799,"Health and Medical Administrative Services, Other"
51.08,Health and Medical Assistants,51.08,Allied Health and Medical Assisting Services
51.0801,Medical Assistant,51.0801,Medical/Clinical Assistant
51.0802,Medical Laboratory Assistant,51.0802,Clinical/Medical Laboratory Assistant
51.0803,Occupational Therapy Assistant,51.0803,Occupational Therapist Assistant
51.0804,Ophthalmic Medical Assistant,51.1803,Ophthalmic Technician/Technologist
51.0805,Pharmacy Technician/Assistant,51.0805,Pharmacy Technician/Assistant
51.0806,Physical Therapy Assistant,51.0806,Physical Therapist Assistant
51.0807,Physician Assistant,51.0912,Physician Assistant
51.0808,Veterinarian Assistant/Animal Health Technician,51.0808,Veterinary/Animal Health Technology/Technician and Veterinary Assistant
,,51.0809,Anesthesiologist Assistant (NEW)
,,51.0810,Emergency Care Attendant (EMT Ambulance)(NEW)
,,51.0811,Pathology/Pathologist Assistant (NEW)
,,51.0812,Respiratory Therapy Technician/Assistant(NEW)
,,51.0813,Chiropractic Assistant/Technician (NEW)
51.0899,"Health and Medical Assistants, Other",51.0899,"Health/Medical Assisting Services, Other"
51.09,Health and Medical Diagnostic and Treatment Services,51.09,"Allied Health Diagnostic, Intervention, and Treatment Professions"
51.0901,Cardiovascular Technology/Technician,51.0901,Cardiovascular Technology/Technologist
51.0902,Electrocardiograph Technology/Technician,51.0902,Electrocardiograph Technology/Technician
51.0903,Electroencephalograph Technology/Technician,51.0903,Electroneurodiagnostic/Electroencephalographic Technology/Technologist
51.0904,Emergency Medical Technology/Technician,51.0904,Emergency Medical Technology/Technician (EMT Paramedic)
51.0905,Nuclear Medical Technology/Technician,51.0905,Nuclear Medical Technology/Technologist
51.0906,Perfusion Technology/Technician,51.0906,Perfusion Technology/Perfusionist
51.0907,Medical Radiologic Technology/Technician,51.0907,Medical Radiologic Technology/Science – Radiation Therapist
51.0908,Respiratory Therapy Technician,51.0908,Respiratory Care Therapy/Therapist
51.0909,Surgical/Operating Room Technician,51.0909,Surgical Technology/Technologist
51.0910,Diagnostic Medical Sonography,51.0910,Diagnostic Medical Sonography/Sonographer and Ultrasound Technician
,,51.0911,Radiologic Technology/Science – Radiographer(NEW)
,,51.0914,Gene/Genetic Therapy (NEW)
,,51.0915,Cardiopulmonary Technology/Technologist(NEW)
,,51.0916,Radiation Protection/Health Physics Technician(NEW)
51.0999,"Health and Medical Diagnostic and Treatment Services, Other",51.0999,"Allied Health Diagnostic, Intervention, and Treatment Professions, Other"
51.10,Health and Medical Laboratory Technologies/Technicians,51.10,Clinical/Medical Laboratory Science and Allied Professions
51.1001,Blood Bank Technology/Technician,51.1001,Blood Bank Technology Specialist
51.1002,Cytotechnologist,51.1002,Cytotechnology/Cytotechnologist
51.1003,Hematology Technology/Technician,51.1003,Hematology Technology/Technician
51.1004,Medical Laboratory Technician,51.1004,Clinical/Medical Laboratory Technician
51.1005,Medical Technology,51.1005,Clinical Laboratory Science/Medical Technology/Technologist
51.1006,Optometric/Ophthalmic Laboratory Technician,51.1006,Ophthalmic Laboratory Technology/Technician
,,51.1007,Histologic Technology/Histotechnologist (NEW)
,,51.1008,Histologic Technician (NEW)
,,51.1009,Phlebotomy/Phlebotomist (NEW)
,,51.1010,Cytogenetics/Genetics/Clinical Genetics Technology/Technologist (NEW)
,,51.1011,Renal/Dialysis Technologist/Technician (NEW)
51.1099,"Health and Medical Laboratory Technologies/Technicians, Other",51.1099,"Clinical/Medical Laboratory Science and Allied Professions, Other"
51.11,Health and Medical Preparatory Programs,51.11,Health/Medical Preparatory Programs
51.1101,Pre-Dentistry Studies,51.1101,Pre-Dentistry Studies
51.1102,Pre-Medicine Studies,51.1102,Pre-Medicine/Pre-Medical Studies
51.1103,Pre-Pharmacy Studies,51.1103,Pre-Pharmacy Studies
51.1104,Pre-Veterinary Studies,51.1104,Pre-Veterinary Studies
,,51.1105,Pre-Nursing Studies (NEW)
51.1199,"Health and Medical Preparatory Programs, Other",51.1199,"Health/Medical Preparatory Programs, Other"
51.12,Medicine (M.D.),51.12,Medicine (MD)
51.1201,Medicine (M.D.),51.1201,Medicine (MD)
51.13,Medical Basic Sciences,Deleted,Report Under 26.Series
51.1301,Medical Anatomy,26.0403,Anatomy
51.1302,Medical Biochemistry,26.0202,Biochemistry
51.1303,Medical Biomathematics and Biometrics,26.1101,Biometry/Biometrics
51.1304,Medical Physics/Biophysics,26.0203,Biophysics
51.1305,Medical Cell Biology,26.0401,Cell/Cellular Biology and Histology
51.1306,Medical Genetics,26.0806,Human/Medical Genetics
51.1307,Medical Immunology,26.0507,Immunology
51.1308,Medical Microbiology,26.0503,Medical Microbiology and Bacteriology
51.1309,Medical Molecular Biology,26.0204,Molecular Biology
51.1310,Medical Neurobiology,26.0906,Neurobiology and Neurophysiology
51.1311,Medical Nutrition,30.1901,Nutrition Sciences
51.1312,Medical Pathology,26.0910,Pathology/Experimental Pathology
51.1313,Medical Physiology,26.09,"Series Physiology, Pathology and Related Sciences"
51.1314,Medical Toxicology,26.1004,Toxicology
51.1399,"Medical Basic Sciences, Other",26.9999,"Biological and Biomedical Sciences, Other"
51.14,"Medical Clinical Sciences (M.S., Ph.D.)",51.14,Medical Clinical Sciences/Graduate Medical Studies
51.1401,"Medical Clinical Sciences (M.S., Ph.D.)",51.1401,"Medical Scientist (MS, PhD)"
51.15,Mental Health Services,51.15,Mental and Social Health Services and Allied Professions
51.1501,Alcohol/Drug Abuse Counseling,51.1501,Substance Abuse/Addiction Counseling
51.1502,Psychiatric/Mental Health Services Technician,51.1502,Psychiatric/Mental Health Services Technician
51.1503,Clinical and Medical Social Work,51.1503,Clinical/Medical Social Work
,,51.1506,Clinical Pastoral Counseling/Patient Counseling(NEW)
,,51.1508,Mental Health Counseling/Counselor (NEW)
,,51.1509,Genetic Counseling/Counselor (NEW)
51.1599,"Mental Health Services, Other",51.1599,"Mental and Social Health Services and Allied Professions, Other"
51.16,Nursing,51.16,Nursing
51.1601,Nursing (R.N. Training),51.1601,"Nursing - Registered Nurse Training (RN, ASN, BSN, MSN)"
51.1602,Nursing Administration (Post-R.N.),51.1602,"Nursing Administration (MSN, MS, PhD)"
51.1603,"Nursing, Adult Health (Post-R.N.)",51.1603,Adult Health Nurse/Nursing
51.1604,Nursing Anesthetist (Post-R.N.),51.1604,Nurse Anesthetist
51.1605,Nursing Family Practice (Post-R.N.),51.1605,Family Practice Nurse/Nurse Practitioner
51.1606,"Nursing, Maternal/Child Health (Post-R.N.)",51.1606,Maternal/Child Health and Neonatal Nurse/Nursing
51.1607,Nursing Midwifery (Post-R.N.),51.1607,Nurse Midwife/Nursing Midwifery
51.1608,"Nursing Science (M.S., Ph.D.)",51.1608,"Nursing Science (MS, PhD)"
51.1609,"Nursing, Pediatric (Post-R.N.)",51.1609,Pediatric Nurse/Nursing
51.1610,"Nursing, Psychiatric/Mental Health (Post-R.N.)",51.1610,Psychiatric/Mental Health Nurse/Nursing
51.1611,"Nursing, Public Health (Post-R.N.)",51.1611,Public Health/Community Nurse/Nursing
51.1612,"Nursing, Surgical (Post-R.N.)",51.1612,Perioperative/Operating Room and Surgical Nurse/Nursing
51.1613,Practical Nurse (L.P.N. Training),51.1613,"Licensed Practical /Vocational Nurse Training (LPN, LVN, Cert, Dipl, AAS)"
51.1614,Nurse Assistant/Aide,51.1614,Nurse/Nursing Assistant/Aide and Patient Care Assistant
51.1615,Home Health Aide,51.2602,Home Health Aide/Home Attendant
,,51.1616,Clinical Nurse Specialist (NEW)
,,51.1617,Critical Care Nursing (NEW)
,,51.1618,Occupational and Environmental Health Nursing(NEW)
51.1699,"Nursing, Other",51.1699,"Nursing, Other"
51.17,Optometry (O.D.),51.17,Optometry (OD)
51.1701,Optometry (O.D.),51.1701,Optometry (OD)
51.18,Ophthalmic/Optometric Services,51.18,Ophthalmic and Optometric Support Services and Allied Professions
51.1801,Opticianry/Dispensing Optician,51.1801,Opticianry/Ophthalmic Dispensing Optician
51.1802,Optical Technician/Assistant,51.1802,Optomeric Technician/Assistant
51.1803,Ophthalmic Medical Technologist,51.1803,Opthalmic Technician/Technologist
51.1804,Orthoptics,51.1804,Orthoptics/Orthoptist
51.1899,"Ophthalmic/Optometric Services, Other",51.1899,"Ophthalmic and Optometric Support Services and AlliedProfessions, Other"
51.19,Osteopathic Medicine (D.O.),51.19,Osteopathic Medicine/Osteopathy (DO)
51.1901,Osteopathic Medicine (D.O.),51.1901,Osteopathic Medicine/Osteopathy (DO)
51.20,Pharmacy,51.20,"Pharmacy, Pharmaceutical Sciences, and Administration"
51.2001,"Pharmacy (B. Pharm., Pharm.D.)",51.2001,"Pharmacy (PharmD [USA] PharmD, BS/BPharm [Canada])"
51.2002,Pharmacy Administration and Pharmaceutics,51.2002,"Pharmacy Administration and Pharmacy Policy and Regulatory Affairs (MS, PhD)"
51.2003,Medical Pharmacology and Pharmaceutical Sciences,51.2003,"Pharmaceutics and Drug Design (MS, PhD)"
